speaker_id,name,wikidata_id,region,profession,gender,seed_dir
sp_ferdous_ahmed,Ferdous Ahmed,Q5443963,Bangladesh,actor,male,
sp_sheikh_hasina,Sheikh Hasina,Q52183,Bangladesh,politician,female,
